,dteday,hr,holiday,workingday,hum,windspeed,temp_c,feels_like_c,light_out,total,fall,spring,summer,winter,clear,heavy,light,mist
0,1/1/2011,0,0,0,0.81,0,3.28,3.0014,0,16,0,0,0,1,1,0,0,0
1,1/1/2011,1,0,0,0.8,0,2.34,1.9982,0,40,0,0,0,1,1,0,0,0
2,1/1/2011,2,0,0,0.8,0,2.34,1.9982,0,32,0,0,0,1,1,0,0,0
3,1/1/2011,3,0,0,0.75,0,3.28,3.0014,0,13,0,0,0,1,1,0,0,0
4,1/1/2011,4,0,0,0.75,0,3.28,3.0014,0,1,0,0,0,1,1,0,0,0
5,1/1/2011,5,0,0,0.75,6,3.28,1.0016,0,1,0,0,0,1,0,0,0,1
6,1/1/2011,6,0,0,0.8,0,2.34,1.9982,0,2,0,0,0,1,1,0,0,0
7,1/1/2011,7,0,0,0.86,0,1.4,1.0016,1,3,0,0,0,1,1,0,0,0
8,1/1/2011,8,0,0,0.75,0,3.28,3.0014,1,8,0,0,0,1,1,0,0,0
9,1/1/2011,9,0,0,0.76,0,7.04,7.001,1,14,0,0,0,1,1,0,0,0
10,1/1/2011,10,0,0,0.76,17,9.86,9.9974,1,36,0,0,0,1,1,0,0,0
11,1/1/2011,11,0,0,0.81,19,8.92,5.9978,1,56,0,0,0,1,1,0,0,0
12,1/1/2011,12,0,0,0.77,19,11.74,11.9972,1,84,0,0,0,1,1,0,0,0
13,1/1/2011,13,0,0,0.72,20,13.62,13.997,1,94,0,0,0,1,0,0,0,1
14,1/1/2011,14,0,0,0.72,19,13.62,13.997,1,106,0,0,0,1,0,0,0,1
15,1/1/2011,15,0,0,0.77,20,12.68,13.0004,1,110,0,0,0,1,0,0,0,1
16,1/1/2011,16,0,0,0.82,20,11.74,11.9972,1,93,0,0,0,1,0,0,0,1
17,1/1/2011,17,0,0,0.82,19,12.68,13.0004,0,67,0,0,0,1,0,0,0,1
18,1/1/2011,18,0,0,0.88,17,11.74,11.9972,0,35,0,0,0,1,0,0,1,0
19,1/1/2011,19,0,0,0.88,17,11.74,11.9972,0,37,0,0,0,1,0,0,1,0
20,1/1/2011,20,0,0,0.87,17,10.8,11.0006,0,36,0,0,0,1,0,0,0,1
21,1/1/2011,21,0,0,0.87,13,10.8,11.0006,0,34,0,0,0,1,0,0,0,1
22,1/1/2011,22,0,0,0.94,15,10.8,11.0006,0,28,0,0,0,1,0,0,0,1
23,1/1/2011,23,0,0,0.88,20,13.62,13.997,0,39,0,0,0,1,0,0,0,1
24,1/2/2011,0,0,0,0.88,20,13.62,13.997,0,17,0,0,0,1,0,0,0,1
25,1/2/2011,1,0,0,0.94,17,12.68,13.0004,0,17,0,0,0,1,0,0,0,1
26,1/2/2011,2,0,0,1.0,19,11.74,11.9972,0,9,0,0,0,1,0,0,0,1
27,1/2/2011,3,0,0,0.94,13,13.62,13.997,0,6,0,0,0,1,0,0,0,1
28,1/2/2011,4,0,0,0.94,13,13.62,13.997,0,3,0,0,0,1,0,0,0,1
29,1/2/2011,6,0,0,0.77,20,11.74,11.9972,0,2,0,0,0,1,0,0,1,0
30,1/2/2011,7,0,0,0.76,13,10.8,11.0006,1,1,0,0,0,1,0,0,0,1
31,1/2/2011,8,0,0,0.71,15,10.8,11.0006,1,8,0,0,0,1,0,0,1,0
32,1/2/2011,9,0,0,0.76,15,9.86,9.9974,1,20,0,0,0,1,0,0,0,1
33,1/2/2011,10,0,0,0.81,15,8.92,7.001,1,53,0,0,0,1,0,0,0,1
34,1/2/2011,11,0,0,0.71,17,8.92,5.9978,1,70,0,0,0,1,0,0,0,1
35,1/2/2011,12,0,0,0.66,20,8.92,5.9978,1,93,0,0,0,1,0,0,0,1
36,1/2/2011,13,0,0,0.66,9,8.92,7.001,1,75,0,0,0,1,0,0,0,1
37,1/2/2011,14,0,0,0.76,13,8.92,7.001,1,59,0,0,0,1,0,0,1,0
38,1/2/2011,15,0,0,0.81,11,7.98,5.9978,1,74,0,0,0,1,0,0,1,0
39,1/2/2011,16,0,0,0.71,11,7.98,5.9978,1,76,0,0,0,1,0,0,1,0
40,1/2/2011,17,0,0,0.57,13,7.98,5.9978,0,65,0,0,0,1,1,0,0,0
41,1/2/2011,18,0,0,0.46,22,8.92,5.9978,0,53,0,0,0,1,0,0,0,1
42,1/2/2011,19,0,0,0.42,30,7.04,3.0014,0,30,0,0,0,1,1,0,0,0
43,1/2/2011,20,0,0,0.39,24,6.1,1.9982,0,22,0,0,0,1,1,0,0,0
44,1/2/2011,21,0,0,0.44,22,4.22,-0.9982,0,31,0,0,0,1,1,0,0,0
45,1/2/2011,22,0,0,0.44,20,3.28,-2.0014,0,9,0,0,0,1,1,0,0,0
46,1/2/2011,23,0,0,0.47,11,2.34,-0.9982,0,8,0,0,0,1,1,0,0,0
47,1/3/2011,0,0,1,0.44,24,2.34,-2.998,0,5,0,0,0,1,1,0,0,0
48,1/3/2011,1,0,1,0.44,28,1.4,-4.9978,0,2,0,0,0,1,1,0,0,0
49,1/3/2011,4,0,1,0.47,26,-0.48,-6.9976,0,1,0,0,0,1,1,0,0,0
50,1/3/2011,5,0,1,0.47,19,-0.48,-6.9976,0,3,0,0,0,1,1,0,0,0
51,1/3/2011,6,0,1,0.5,26,-1.42,-8.9974,0,30,0,0,0,1,1,0,0,0
52,1/3/2011,7,0,1,0.5,13,-1.42,-6.9976,1,64,0,0,0,1,1,0,0,0
53,1/3/2011,8,0,1,0.5,19,-1.42,-8.0008,1,154,0,0,0,1,1,0,0,0
54,1/3/2011,9,0,1,0.43,26,-0.48,-6.9976,1,88,0,0,0,1,1,0,0,0
55,1/3/2011,10,0,1,0.43,17,0.46,-4.9978,1,44,0,0,0,1,1,0,0,0
56,1/3/2011,11,0,1,0.4,22,1.4,-4.0012,1,51,0,0,0,1,1,0,0,0
57,1/3/2011,12,0,1,0.35,20,2.34,-2.0014,1,61,0,0,0,1,1,0,0,0
58,1/3/2011,13,0,1,0.35,19,3.28,-2.0014,1,61,0,0,0,1,1,0,0,0
59,1/3/2011,14,0,1,0.3,19,4.22,-0.0016,1,77,0,0,0,1,1,0,0,0
60,1/3/2011,15,0,1,0.3,17,4.22,-0.0016,1,72,0,0,0,1,1,0,0,0
61,1/3/2011,16,0,1,0.3,17,4.22,-0.0016,1,76,0,0,0,1,1,0,0,0
62,1/3/2011,17,0,1,0.3,15,3.28,-0.9982,0,157,0,0,0,1,1,0,0,0
63,1/3/2011,18,0,1,0.32,7,3.28,1.0016,0,157,0,0,0,1,1,0,0,0
64,1/3/2011,19,0,1,0.47,0,1.4,1.0016,0,110,0,0,0,1,1,0,0,0
65,1/3/2011,20,0,1,0.47,7,1.4,-0.9982,0,52,0,0,0,1,1,0,0,0
66,1/3/2011,21,0,1,0.64,9,0.46,-2.998,0,52,0,0,0,1,1,0,0,0
67,1/3/2011,22,0,1,0.69,9,-1.42,-6.001,0,20,0,0,0,1,1,0,0,0
68,1/3/2011,23,0,1,0.55,7,0.46,-2.0014,0,12,0,0,0,1,1,0,0,0
69,1/4/2011,0,0,1,0.55,7,-0.48,-4.0012,0,5,0,0,0,1,1,0,0,0
70,1/4/2011,1,0,1,0.59,7,-0.48,-4.0012,0,2,0,0,0,1,1,0,0,0
71,1/4/2011,2,0,1,0.63,9,-1.42,-6.001,0,1,0,0,0,1,1,0,0,0
72,1/4/2011,4,0,1,0.63,6,-1.42,-4.0012,0,2,0,0,0,1,1,0,0,0
73,1/4/2011,5,0,1,0.68,7,-2.36,-6.001,0,4,0,0,0,1,1,0,0,0
74,1/4/2011,6,0,1,0.74,7,-2.36,-6.001,0,36,0,0,0,1,1,0,0,0
75,1/4/2011,7,0,1,0.74,9,-2.36,-6.001,1,94,0,0,0,1,1,0,0,0
76,1/4/2011,8,0,1,0.69,11,-1.42,-6.001,1,179,0,0,0,1,1,0,0,0
77,1/4/2011,9,0,1,0.64,15,-0.48,-6.001,1,100,0,0,0,1,1,0,0,0
78,1/4/2011,10,0,1,0.69,22,-0.48,-6.9976,1,42,0,0,0,1,0,0,0,1
79,1/4/2011,11,0,1,0.51,20,2.34,-2.0014,1,57,0,0,0,1,1,0,0,0
80,1/4/2011,12,0,1,0.51,11,2.34,-0.9982,1,78,0,0,0,1,1,0,0,0
81,1/4/2011,13,0,1,0.56,13,3.28,-0.9982,1,97,0,0,0,1,1,0,0,0
82,1/4/2011,14,0,1,0.52,15,4.22,1.0016,1,63,0,0,0,1,1,0,0,0
83,1/4/2011,15,0,1,0.52,17,5.16,1.9982,1,65,0,0,0,1,1,0,0,0
84,1/4/2011,16,0,1,0.49,17,6.1,3.0014,1,83,0,0,0,1,1,0,0,0
85,1/4/2011,17,0,1,0.48,15,5.16,1.9982,1,212,0,0,0,1,1,0,0,0
86,1/4/2011,18,0,1,0.48,13,4.22,1.0016,0,182,0,0,0,1,1,0,0,0
87,1/4/2011,19,0,1,0.48,7,3.28,1.0016,0,112,0,0,0,1,1,0,0,0
88,1/4/2011,20,0,1,0.48,7,3.28,1.0016,0,54,0,0,0,1,1,0,0,0
